"fb_id","avg_align","l2","l1","n","r1","r2","side","fan_count","link","name"
"311190048935167","0.856","0","0","0.0006","0.4212","0.5783","right","587127","https://www.facebook.com/100PercentFEDUp/","100 Percent FED Up"
"108038612554992","-0.8936","0.9486","0.0509","0.0004","0.0001","0","left","502983","https://www.facebook.com/NoTeaParty/","Americans Against the Tea Party"
"58158120046","0.9268","0","0","0.0001","0.0645","0.9354","right","2653202","https://www.facebook.com/theACLJ/","American Center for Law and Justice"
"18982436812","-0.7686","0.7872","0.1607","0.0485","0.0018","0.0018","left","674676","https://www.facebook.com/aclu.nationwide/","ACLU Nationwide"
"146422995398181","-0.8894","0.9392","0.0607","0.0001","0","0","left","1137789","https://www.facebook.com/AddictingInfoOrg/","Addicting Info"
"6030918854","-0.9276","0.9609","0.035","0.0025","0.0005","0.001","left","377698","https://www.facebook.com/TheAdvocate/","The Advocate magazine"
"22067606728","0.8918","0","0","0","0.4003","0.5997","right","2126382","https://www.facebook.com/AllenBWest/","Allen West"
"158924294183807","0.9423","0","0","0","0.0255","0.9745","right","465343","https://www.facebook.com/AllenWestRepublic/","Allen West Republic"
"17108852506","-0.8804","0.8854","0.1049","0.0082","0.0014","0.0001","left","881881","https://www.facebook.com/AlterNetNews/","AlterNet"
"179035672287016","0.8651","0","0","0","0.4532","0.5468","right","5238888","https://www.facebook.com/ThePatriotReview/","American News"
"144317282271701","0.9112","0.0003","0","0.0021","0.2326","0.765","right","103191","https://www.facebook.com/AmericanThinker/","American Thinker"
"203330919857759","-0.8077","0.988","0.0114","0","0.0006","0","left","127893","https://www.facebook.com/OFA/","Organizing for Action"
"114528955231791","-0.839","0.9448","0.0549","0.0004","0","0","left","665295","https://www.facebook.com/moyersandcompany/","Bill Moyers"
"169204449790211","0.9142","0","0","0.0001","0.1646","0.8352","right","1555973","https://www.facebook.com/ConservativeNewsToday/","Conservative News Today"
"66058180994","-0.7772","0.9077","0.0796","0.0122","0.0005","0","left","125386","https://www.facebook.com/BlackAmericaWeb/","BlackAmericaWeb.com"
"268311603350722","-0.8883","0.9771","0.0226","0.0003","0","0","left","831038","https://www.facebook.com/bluenationreview/","BNR"
"27479046178","-0.7779","0.6098","0.356","0.0319","0.0012","0.0011","left","480983","https://www.facebook.com/boingboing/","Boing Boing"
"95475020353","0.9136","0.0001","0.0003","0.0052","0.2169","0.7775","right","1971752","https://www.facebook.com/Breitbart/","Breitbart"
"235203259169","0.934","0","0","0","0.0237","0.9762","right","1261434","https://www.facebook.com/THEHermanCain/","Herman Cain"
"116056801813862","0.871","0.0003","0","0.0019","0.3694","0.6283","right","160504","https://www.facebook.com/charismanews/","Charisma News"
"228702593913193","0.9218","0","0","0.0022","0.2291","0.7687","right","492670","https://www.facebook.com/ClashDaily/","ClashDaily.com with Doug Giles"
"19420215926","0.8979","0","0","0.0007","0.1352","0.864","right","2026125","https://www.facebook.com/cnsnewscom/","CNSNews.com"
"32109457015","-0.9673","0.8944","0.0945","0.0108","0.0001","0.0002","left","340110","https://www.facebook.com/commondreams.org/","CommonDreams"
"148345978571352","0.9063","0","0","0.0012","0.1732","0.8256","right","139626","https://www.facebook.com/conservativebyte/","ConservativeByte"
"221573484697614","0.8962","0","0","0.0001","0.1449","0.855","right","1195804","https://www.facebook.com/heyconservativepost/","Conservative Post"
"519305544814653","0.8866","0","0","0.0001","0.1305","0.8693","right","2652036","https://www.facebook.com/theconservativetribune/","Conservative Tribune"
"315496455229328","0.8733","0.0005","0","0.0006","0.027","0.9719","right","979195","https://www.facebook.com/SenatorTedCruz/","Senator Ted Cruz"
"182919686769","0.8697","0.0006","0.0058","0.0087","0.1828","0.8021","right","2043007","https://www.facebook.com/DailyCaller/","The Daily Caller"
"43179984254","-0.8972","0.9674","0.0291","0.0008","0.0026","0","left","1070937","https://www.facebook.com/dailykos/","Daily Kos"
"300341323465160","0.9319","0","0","0.0006","0.0347","0.9647","right","621548","https://www.facebook.com/TheDailySignalNews/","The Daily Signal"
"17414523278","-0.934","0.9555","0.0401","0.0039","0","0.0004","left","850412","https://www.facebook.com/democracynow/","Democracy Now!"
"216709768355686","0.937","0","0","0","0.0132","0.9868","right","1528971","https://www.facebook.com/DSouzaDinesh/","Dinesh D'Souza"
"135665053303678","0.9018","0","0","0.0001","0.1366","0.8633","right","553695","https://www.facebook.com/theEagleisRising/","Eagle Rising"
"159993367346942","-0.8554","0.727","0.2505","0.0079","0.0147","0","left","164334","https://www.facebook.com/EcoWatch/","EcoWatch"
"32844167451","-0.8074","0.6126","0.3827","0.0043","0.0005","0","left","162146","https://www.facebook.com/electronicintifada/","The Electronic Intifada"
"687958677914631","-0.5225","0.7152","0.218","0.061","0.0052","0.0007","left","211832","https://www.facebook.com/fivethirtyeight/","FiveThirtyEight"
"551987771496911","-0.8744","0.9836","0.0124","0.0039","0.0001","0","left","349241","https://www.facebook.com/ForwardProgressives/","Forward Progressives"
"282024895179874","0.8778","0.0002","0.0005","0.0015","0.1789","0.819","right","707800","https://www.facebook.com/FreeBeacon/","Washington Free Beacon"
"8376212628","-0.7749","0.7067","0.251","0.0395","0.002","0.0008","left","986423","https://www.facebook.com/Gawker/","Gawker"
"36400348187","0.969","0","0","0","0.008","0.992","right","3285760","https://www.facebook.com/GlennBeck/","Glenn Beck"
"8732630162","-0.8729","0.9076","0.0917","0.0007","0","0","left","265610","https://www.facebook.com/globalgrind/","Global Grind"
"123192635089","0.9268","0","0","0.0006","0.0224","0.977","right","2032704","https://www.facebook.com/GOP/","Republican National Committee"
"112415152112864","0.9386","0.0001","0","0.0002","0.1501","0.8496","right","428667","https://www.facebook.com/Conservative-Lady-112415152112864/","Conservative Lady"
"22898109808","-0.8452","0.8697","0.1254","0.0049","0","0","left","250434","https://www.facebook.com/grist.org/","Grist.org"
"69813760388","0.9444","0","0","0.0007","0.0113","0.988","right","2230128","https://www.facebook.com/SeanHannity/","Sean Hannity"
"260280024019839","0.8898","0","0","0.0001","0.1043","0.8955","right","731584","https://www.facebook.com/HeadlinePolitics/","Headline Politics"
"103971336305218","0.9247","0","0","0.0031","0.1276","0.8694","right","834265","https://www.facebook.com/hotaircom/","Hot Air"
"212436860202","0.9303","0","0","0.0005","0.2326","0.767","right","731035","https://www.facebook.com/humaneventsmedia/","Human Events"
"762592150466931","-0.8964","0.9322","0.0642","0.0036","0","0","left","532667","https://www.facebook.com/If-You-Only-News-762592150466931/","If You Only News"
"406726216017535","0.8901","0","0","0.0002","0.2207","0.7792","right","429359","https://www.facebook.com/injoreview/","Independent Journal - Review"
"34407447433","-0.9487","0.9498","0.0473","0.0026","0","0.0003","left","723209","https://www.facebook.com/Jezebel/","Jezebel"
